,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name
8356,Worried Sky,Worried Sky,spotify:track:1DF4YmcOIBX1DyyYCxTsc0,Jean Petri
8358,Speak To Me - 2011 Remastered Version,The Dark Side Of The Moon,spotify:track:4rQYDXfKFikLX4ad674jhg,Pink Floyd
8359,Late Night Skyline,Long Awaited Journey,spotify:track:7mksk885pTmUTOhIHTftAV,Alon Mor
8360,Claudi,Saw You for the First Time,spotify:track:0UP6iahCqN841jwU87Ag3Z,Laurence Guy
8361,Ambre,Ambre,spotify:track:560anuQ9osy5gKo20TeuBj,Else
8362,Away,Away,spotify:track:2mpDoMepkxUD7GusdybNIq,Tonie Green
8363,Synesthesia (Scaled Down Version),Balm,spotify:track:50030Xdu99SG9krul5IlNL,Peter Sandberg
8364,This Moment,This Moment,spotify:track:6gp6sejiJXYU1i6xHPf8hh,Bela Nemeth
8404,Moin Freunde Skit,Die Zeit heilt alle Hypes,spotify:track:2ly8X02Hm0xT7dR4Vbxeb5,Fatoni
8408,Best Time Of My Life,Die Zeit heilt alle Hypes,spotify:track:67AnEf3TfEKojluKmXXhli,Fatoni
8409,Lustig,Die Zeit heilt alle Hypes,spotify:track:3mpXZAYUCs3puVXiedX9Vl,Fatoni
8411,Dicke Hipster,Die Zeit heilt alle Hypes,spotify:track:3TBTfjclGl4wBGdrMjKuLP,Fatoni
8412,An der Uhr,Die Zeit heilt alle Hypes,spotify:track:1d1eMVgTJFw8mX46SWw5Vd,Fatoni
8415,Intro,Die Zeit heilt alle Hypes,spotify:track:0l5KIng0Hl9rexf6Sgjnsu,Fatoni
8432,Bar Bezahlt,Bar Bezahlt,spotify:track:4EeqqbJ8uAWpt7eUduXyDY,Plusmacher
8439,Juse Ju ist tight,Übertreib nicht deine Rolle,spotify:track:6NPOTtkRBGiIrzNRfWiEnU,Juse Ju
8505,CSN,Übertreib nicht deine Rolle,spotify:track:77MiTwYPpUGKLTkQjUXoSK,Juse Ju
8506,Schachbrett Skit,Übertreib nicht deine Rolle,spotify:track:2VCEz31F7pQzqJivXyY7kF,Juse Ju
8507,Traumstadt,Übertreib nicht deine Rolle,spotify:track:0tFCnvjGNq66QFW5UGaxrs,Juse Ju
8538,Kapitel 10 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2bxs1PQ1PGD8d3QBQsmbEB,Stefan Merath
8539,Kapitel 11 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:0KcfDuq7qbDSPX7gzpJV7R,Stefan Merath
8540,Kapitel 12 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:3hnwnpsAhjjeOvwB4uKd0n,Stefan Merath
8541,Kapitel 13 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:1jv0CSjIlNdnljRkymCXxn,Stefan Merath
8542,Kapitel 14 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:6JBQyhXq4vHML0mF59g5xF,Stefan Merath
8544,Kapitel 15 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:1pKVe1O2N4Nq1QzJbVDeCt,Stefan Merath
8545,Kapitel 16 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:025OSs2xhbbd5eJvPECcBU,Stefan Merath
8546,Kapitel 17 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2UTHZEYXJGfwagtiIrFzpw,Stefan Merath
8547,Kapitel 18 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:1cNqLsErxBR62lDFEInNoG,Stefan Merath
8548,Kapitel 19 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:6mnTC8qCSwdxEP25bR8yK5,Stefan Merath
8574,Kapitel 20 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2silgCjgjjjV3uNQCs6n4Y,Stefan Merath
8575,Kapitel 21 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2o769RRWKApWtFDiygYO1T,Stefan Merath
8585,Kapitel 22 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:6qg05RxnQeocyEMf5zAMOq,Stefan Merath
