uri,genre
spotify:artist:540vIaP2JwjQb9dm3aArA4,electronic trap
spotify:artist:2VAnyOxzJuSAj7XIuEOT38,house
spotify:artist:2VAnyOxzJuSAj7XIuEOT38,uk dance
spotify:artist:2VAnyOxzJuSAj7XIuEOT38,electropop
spotify:artist:2FXC3k01G6Gw61bmprjgqS,pop
spotify:artist:2FXC3k01G6Gw61bmprjgqS,modern rock
spotify:artist:2FXC3k01G6Gw61bmprjgqS,irish singer-songwriter
spotify:artist:2FXC3k01G6Gw61bmprjgqS,pov: indie
spotify:artist:0jnsk9HBra6NMjO2oANoPY,pop
spotify:artist:0jnsk9HBra6NMjO2oANoPY,pop rap
spotify:artist:0jnsk9HBra6NMjO2oANoPY,dance pop
spotify:artist:0jnsk9HBra6NMjO2oANoPY,miami hip hop
spotify:artist:6d47Z08T4snK50HgTEHo5Z,pop rap
spotify:artist:6d47Z08T4snK50HgTEHo5Z,southern hip hop
spotify:artist:6d47Z08T4snK50HgTEHo5Z,trap
spotify:artist:6d47Z08T4snK50HgTEHo5Z,hyphy
spotify:artist:27fy6rHPC58Eo2VUu0iJSG,electro house
spotify:artist:27fy6rHPC58Eo2VUu0iJSG,brostep
spotify:artist:27fy6rHPC58Eo2VUu0iJSG,electronic trap
spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,pop
spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,viral pop
spotify:artist:738wLrAtLtCtFOLvQBXOXp,pop
spotify:artist:738wLrAtLtCtFOLvQBXOXp,dance pop
spotify:artist:738wLrAtLtCtFOLvQBXOXp,pop dance
spotify:artist:738wLrAtLtCtFOLvQBXOXp,edm
spotify:artist:738wLrAtLtCtFOLvQBXOXp,electro house
spotify:artist:738wLrAtLtCtFOLvQBXOXp,moombahton
spotify:artist:0bdfiayQAKewqEvaU6rXCv,dance pop
spotify:artist:0bdfiayQAKewqEvaU6rXCv,pop dance
spotify:artist:0bdfiayQAKewqEvaU6rXCv,electropop
spotify:artist:0bdfiayQAKewqEvaU6rXCv,danish pop
spotify:artist:4EzkuveR9pLvDVFNx6foYD,pop
spotify:artist:4EzkuveR9pLvDVFNx6foYD,uk pop
spotify:artist:4EzkuveR9pLvDVFNx6foYD,neo mellow
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,metropopolis
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,dance pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish electropop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish synthpop
spotify:artist:1SupJlEpv7RS2tPNRaHViT,latin hip hop
spotify:artist:1SupJlEpv7RS2tPNRaHViT,reggaeton
spotify:artist:1SupJlEpv7RS2tPNRaHViT,trap latino
spotify:artist:1SupJlEpv7RS2tPNRaHViT,urbano latino
spotify:artist:7qG3b048QCHVRO5Pv1T5lw,dance pop
spotify:artist:7qG3b048QCHVRO5Pv1T5lw,latin pop
spotify:artist:7qG3b048QCHVRO5Pv1T5lw,mexican pop
spotify:artist:2XnBwblw31dfGnspMIwgWz,pop dance
spotify:artist:2XnBwblw31dfGnspMIwgWz,edm
spotify:artist:2XnBwblw31dfGnspMIwgWz,progressive electro house
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,pop dance
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,edm
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,electro house
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,dutch house
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,progressive electro house
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,progressive house
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,pop dance
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,edm
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,electro house
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,dutch house
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,progressive electro house
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,progressive house
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,urban contemporary
