duration_ms,explicit,name,popularity,uri,isrc
224574,True,Seesaw (feat. Saweetie),30,spotify:track:1rlASnWYQsgGz9g2YVCl6I,USUG12104045
160191,False,telepatía,78,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,GBUM72005748
161200,True,Pour It Up,65,spotify:track:5r67bGhYXZNqk2m2Wupfmu,USUM71214737
178626,True,7 rings,78,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,USUM71900110
252445,True,Play With Me,50,spotify:track:3LCTDjSZ7pMIKPfreTmHaF,NLS6R1702021
322080,True,King,36,spotify:track:6A6QDAk4bYCkFlIcs39BiJ,USUM71602229
184613,True,Under The Influence,80,spotify:track:5IgjP7X4th6nMNDh4akUHb,USRC11902743
187040,True,Rules,67,spotify:track:1TMWcbxL5YF8rKsFHv5hAP,USRC11902867
238213,True,All I Need,53,spotify:track:17zGghD5m3M35DbTpCJvcW,FR10S1422042
246053,True,Dangerous,70,spotify:track:4NOZ35Dhucr6UlVyLOtktd,USUM70830921
180786,True,247,45,spotify:track:3blBruI6rcbPfxX3DfzpUA,TCACQ1624090
197546,True,God is a woman,70,spotify:track:5OCJzvD7sykQEKHH7qAC3C,USUM71808574
264893,False,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",59,spotify:track:7GbqE3MlkKosIaCvf50JRK,USIR10110334
256320,True,Loveeeeeee Song,69,spotify:track:5Mk1tgVrSuoWWwPVFNS0jB,USUM71214740
200433,False,energy,52,spotify:track:0Fd9LHU2Eu8RGaxchCQbaP,QZHNA2109026
209885,False,Confidently Lost,49,spotify:track:3cQmqM0awej9iAESjhKrI9,USAT21700275
191600,True,Chun-Li,62,spotify:track:1e4rwBPVI32vZtTJu7mJ4J,USCM51800081
288229,True,Drip,37,spotify:track:4up42ROK6W4M5UbF1W9Iu3,QZEG41801245
200732,True,nasty,58,spotify:track:0sci7ppTZFm4mjcH3nu8yO,USUM72020434
195373,False,Sure Thing,82,spotify:track:0JXXNGljqupsJaZsgSbMZV,USJI10800160
223853,False,Let Me Love You,63,spotify:track:59NC8SuXPiSaiYL69XQ4dt,USUM71601828
242692,True,Streets - Silhouette Remix,61,spotify:track:0Uru1UoJdHKf2lxssQT3kC,USRC12100567
391906,True,Rocket,50,spotify:track:0755vnFQZLSgHHWbR1qCjY,USSM11307805
225560,False,Buttons,64,spotify:track:314QzMOrpNUqWBUozYshf6,USUM70500444
204763,True,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),68,spotify:track:09gysnJpfQ3ublBmJDfcEC,US23A1540104
210200,False,Fallin',69,spotify:track:0KQx6HOpJueiSkztcS0r7D,USJAY0100057
228906,False,Ain't No Other Man,56,spotify:track:7huo2wvrCgRucUsjdSDLQV,USRC10600321
252226,False,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",68,spotify:track:2PIvq1pGrUjY007X5y1UpM,USUG11401951
207213,False,Slow Down Baby,31,spotify:track:2B7btV5rnXrdFADZ0NMd0C,USRC10600423
195173,False,Mamma Knows Best,36,spotify:track:7yOpGDQNMPLnbWRKelIOru,USUM71100953
210560,True,Need to Know,72,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,USRC12101120
303733,False,Skin,47,spotify:track:0a2JCinEvl21WeWLJBt7hM,USUM71026640
145800,True,love nwantiti (ah ah ah),72,spotify:track:2Xr1dTzJee307rmrkt8c0g,QMEU31910213
232813,True,I AM WOMAN,63,spotify:track:3nOz1U41SZZ0N3fuUWr9nb,USAR12100239
194666,True,Sexual Healing,42,spotify:track:1m4b7AuHSvJnpRz6FWYUvL,TCADO1896621
281875,True,Hope You Do,50,spotify:track:07egAPsYgrxjkEnZxs1ePJ,USRC11702711
133080,True,"Yeah, I Said It",59,spotify:track:7eDYNlBwRMeFOZHOZ95dZ1,QM5FT1600119
204316,True,Hrs & Hrs,68,spotify:track:3ncmoWTwJgx63LwMTyBCXf,QZAKB2136210
202746,True,PILLOWTALK,72,spotify:track:0PDUDa38GO8lMxLCRc4lL1,USRC11600042
196281,True,Hot Girl,55,spotify:track:2Xc9MR2NMc5IKPFKaEjt1k,USXQS1821736
204173,True,Wild Thoughts (feat. Rihanna & Bryson Tiller),74,spotify:track:1OAh8uOEOvTDqkKFsKksCi,USSM11705088
227027,False,Movements (feat. Yung Fusion),47,spotify:track:1dmQjvGmo94DlWLuC617JT,QMWZB1510372
195853,True,Sexy Bitch (feat. Akon),73,spotify:track:2dGxjfhFXDIUX9h5ImyKkE,FRZID0900500
132453,True,I Like Him,53,spotify:track:68UU9oaQtMDnh6PRlW842H,US23A1502010
211373,True,White Tee (with NO1-NOAH),63,spotify:track:5m0eMnsWwzgGsUxe1mhFYR,USUM72013570
188173,True,Rules,41,spotify:track:0S56ARhyAIZ5OzFX54H2pH,USRC11902867
235946,False,Dangerous Woman,74,spotify:track:3nef5W8jTkXrOKgCu4kmq7,USUM71601826
210520,False,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",59,spotify:track:32YHCNItnCdiYaPbw0uTo8,USUG11500006
219093,False,I Don't Need A Man,49,spotify:track:21avvmlLWna5CQMxSNDLL8,USUM70503129
260040,False,Express - Burlesque Original Motion Picture Soundtrack,51,spotify:track:3e809RytbPZxM8BjbrjlqF,USRC11000899
201146,True,High Heels.,43,spotify:track:3CwY9duCa29ye9TDno8mXT,USAT21602577
245960,False,Fighter,61,spotify:track:7nXq1vaZiz7PdbfojpPjW5,USRC10201072
179373,False,Show Me How You Burlesque - Original Motion Picture Soundtrack,54,spotify:track:6fq4QyaUskNqES6lJqgYjW,USRC11000902
242746,False,The Devil You Know,47,spotify:track:5MEKqNAOlgt3sh5o0iq8EM,USUM71705659
206400,True,Sex With Me,67,spotify:track:7BiELrM90hRxpozaIXbsLw,QM5FT1600126
237840,True,Feeling Myself,56,spotify:track:4vgTAdLit4VNnxZ7YK06NW,USCM51400377
186466,False,Desperado,65,spotify:track:4mCf3vQf7z0Yseo0RxAi3V,QM5FT1600104
272080,False,Don't Cha,67,spotify:track:0BxfFnk0YzONqvmrkO0QrB,USUM70503191
457675,False,Let's Dance - 2018 Remaster,66,spotify:track:3ix6K4wZY29bCujrSznwFZ,USJT11700482
172048,True,Wiggle It (feat. City Girls),42,spotify:track:4vfsh1GHqHZtTlkusq9j5E,USSM11904316
126446,True,My Type,67,spotify:track:5KBARWIxeMGkvUax9VtVC9,USWB11900833
132303,True,GOOBA,64,spotify:track:2zvDnNLW4yZ4a0YcGiOEBX,QZA742002191
139546,False,Eyes. Lips. Face. (e.l.f.),32,spotify:track:0UcTXmzMNrnS2rOLp94LlJ,USK6V1900001
268493,True,Beez In The Trap,53,spotify:track:4It00tEYLwpjQtAhqnjCPC,USCM51200099
201493,True,You Don't Own Me (feat. G-Eazy),69,spotify:track:6KI1ZpZWYAJLvmVhCJz65G,USRC11500344
227386,True,successful,57,spotify:track:5YeHLHDdQ4nKHk81XFWhCU,USUM71808578
210367,False,MIA,71,spotify:track:3gE4eQH3K83Sght0ZLvuBK,USWB11802236
202583,False,"Boom, Boom, Boom, Boom!!",69,spotify:track:5N6M8yDiMV32T6Rkzh8EbW,NLC529811150
195840,True,Whip It,39,spotify:track:59DuHgV4Va0Drxx8FQg8Me,USCM51200113
337733,False,Hung Up,72,spotify:track:3850dYVgOFIXJh5U4BFEWH,USWB10504319
211360,False,Focus,58,spotify:track:1cdzfFjEbUbgTm5nv3FgXR,USUM71516960
223546,False,Roar,73,spotify:track:27tNWlhdAryQY04Gb2ZhUI,USUM71308669
145506,True,All Mine,68,spotify:track:3U21A07gAloCc4P7J8rxcn,USUM71807681
176506,True,That's Right (feat. Akon) - Explicit Album Version,50,spotify:track:0cOSb7wzbpb9vjRkbYufWj,USSM10801761
212946,True,Come Get Her,68,spotify:track:1Ser4X0TKttOvo8bgdytTP,USUM71417470
311197,True,Recognize (feat. Drake),65,spotify:track:1DMYEiuAgz1OKvANXiNFrN,USWB11401866
126315,True,DISCO,31,spotify:track:0l0cUbpegjqlU2faoY0xTw,USUYG1381037
168641,False,In My Room (feat. Ty Dolla $ign & Tyga),45,spotify:track:4lqEFIB9YZl8BwR99L5H3b,USZ4V1500196
151983,False,Let Me Think About It,65,spotify:track:4LjfIjS8iweFCPdKxLnEoV,DKUCA0700015
213135,False,Say Something - Zac Samuel Remix,59,spotify:track:5QifrqmnjHzdOuBAheeeNU,GBUM71404515
214226,True,Disco Inferno,69,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ,USIR10401085
229613,False,Go Girl,33,spotify:track:6Ksb7nVVaNWKyuLzPfdyZD,USTV10700873
223493,False,Volar - Live From Spotify Berlin,15,spotify:track:72MGshAJkQylwdAeltOs3n,DEUM71603018
192499,False,Magia,49,spotify:track:3KJ1QkwWObfuq54pgwTRyW,DEUM72100298
188093,False,El Mismo Sol,53,spotify:track:4OKmYJF7Wk8uJxv68wFH0j,DEUM71502546
210466,False,Sofia,66,spotify:track:5vj59ONIVbyhcrI8ZSwoRo,DEUM71601055
203293,False,Lo Mismo,43,spotify:track:2ZFG1xdBVSM4HmQQTBzWdm,DEE861804273
159466,False,Bonita,29,spotify:track:181zMC9bXzuy1Zk2ht8rRY,DEUM71800700
204118,False,La Cintura - Acoustic Live Version,23,spotify:track:7LkGlX3dU4FEbCkjPs3JSG,DEUM71801165
208066,False,Lucía,33,spotify:track:2vTsFPSUwgLwdRPj1rpDyK,DEUM71500975
210320,False,Arte - From “No Manches Frida 2” Soundtrack,32,spotify:track:6m4zkubgPFIn2GWAzUBKMX,USUM71903419
190693,False,Que Pasa,26,spotify:track:5sUnXcWyK2TEtP8TkXIy0V,DEUM71500978
198080,False,Cuando Volveras,27,spotify:track:5GPPI7M9fa9gj9iw39pKa4,DEUM71500979
212173,False,Mañana,42,spotify:track:3mF2Nfo8RllKxqhUWzBT5P,DEUM72100396
190760,False,Loca,46,spotify:track:6hkr3LNGKUn1492Cr6YSAi,DEUM71807724
162773,False,Sowieso - Radio Version,38,spotify:track:07TAUihsoCBnLWWXuZYUyw,DEQ321700052
197240,False,Einmal,41,spotify:track:4MshU1BZjRZjXtoSpaOJlL,DEQ321800371
171240,False,Schüttel deinen Speck,57,spotify:track:4zAV2pS81cE30xhBHwG9Pf,DEA620800631
186120,False,I sing a Liad für di,53,spotify:track:5ehvqNsyDicTBTUTMSB2Ic,DEUM71004722
279973,False,Amoi seg' ma uns wieder - Radio Version,47,spotify:track:0iAtLvGKbC4Z7LE2h7duLc,DEUM71402012
180252,False,Hulapalu,57,spotify:track:627QU4vNG3alCWCK1FMeLK,DEUM71500645
