,artist_uri,track_uri
84,spotify:artist:1sP5vDxtN8qBPTVxmUAhU9,spotify:track:2rPtQVGtHRQLUee3oujtRo
85,spotify:artist:1u7DsNFbakULvxnDGtMm90,spotify:track:6JFacTIwH7NCD1p2CmxVVV
86,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,spotify:track:3isEfMIsEJrHgAh1ESWgc7
87,spotify:artist:1u7DsNFbakULvxnDGtMm90,spotify:track:3isEfMIsEJrHgAh1ESWgc7
88,spotify:artist:1R3HRBLa5jwIKMWLMVpJZR,spotify:track:0Q1F2YDblewui4j2MoGgX5
89,spotify:artist:1vK8NnrPlBlF34LaiFX1SK,spotify:track:0Q1F2YDblewui4j2MoGgX5
90,spotify:artist:4EqllexXDOjycwQhL5WK5M,spotify:track:0Q1F2YDblewui4j2MoGgX5
91,spotify:artist:4Fry0sEjFRKflf45xpPUMp,spotify:track:50nexV89Lzk96Nw2WYCpXj
92,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,spotify:track:3jiEDw7G8ojPO1WSXkea2O
93,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,spotify:track:20UffSyFaybW0xW04IhSbL
94,spotify:artist:6xBZgSMsnKVmaAxzWEwMSD,spotify:track:3l3nnniXzq1lBqYeYEJb1H
95,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,spotify:track:3l3nnniXzq1lBqYeYEJb1H
96,spotify:artist:0xNdN9NbR572rKrGQBjPlH,spotify:track:4reUXdUEkTRDlCFJEANGQz
97,spotify:artist:7MMcJHFoJYUjHIk9YwTufv,spotify:track:0kZJcDv4yOrtKe1Mdlb0tz
98,spotify:artist:3gRJFoOKgAkHI7EZTWKXRy,spotify:track:02N6JQNfiB1Hc4nKm2P0g4
99,spotify:artist:30sqtiTKIb1oDve0SdYayT,spotify:track:6XAwcgNG3ZC0IySBXYlqmi
100,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,spotify:track:3CPm8pViOWEUtCTI4qrWGu
101,spotify:artist:3D1uNqaasEWzallSxKo1cH,spotify:track:0Gc6QNeD6gkIgIgx75C8M7
102,spotify:artist:5iJsReQNQzuHVkLLXUpRCy,spotify:track:5MxUmeEt4KJMr8ag1WBP1A
103,spotify:artist:0JLPvCgJch8H8gdiez8HSY,spotify:track:5MxUmeEt4KJMr8ag1WBP1A
104,spotify:artist:4UhExRgMW9QR7oNmTI2lPG,spotify:track:6mibaVAge7lQvoH731VZJa
105,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,spotify:track:1CmhkiXegdbj3Ewizvdg2Q
106,spotify:artist:0SIxAAknV8iR2jHcQJ9Sfn,spotify:track:3pvVzmkWcggLY7m8yLos58
107,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:2saMXfyvWlfWkLvfMRF1BF
108,spotify:artist:6caPJFLv1wesmM7gwK1ACy,spotify:track:6BA2JM59JObFjHNvLK2KOg
