,artist_name,plays,songs,var,std
181,Joy Crookes,57,2,112.5,10.606601717798213
182,Gym Class Heroes,56,1,,
183,My Chemical Romance,56,2,288.0,16.97056274847714
184,Ufo361,56,2,578.0,24.041630560342615
185,blink-182,56,2,338.0,18.384776310850235
186,Streetlight Manifesto,55,1,,
187,New Politics,55,1,,
188,Mark Forster,54,2,18.0,4.242640687119285
189,Sugarcult,54,1,,
190,Britt Nicole,54,1,,
191,Nuver,54,1,,
192,Nina Chuba,53,2,40.5,6.363961030678928
193,Sido,53,4,112.91666666666667,10.626225419530053
194,Cardi B,52,1,,
195,Mac Miller,52,3,156.33333333333331,12.503332889007368
196,Helen Jane Long,51,1,,
197,Gavin James,51,1,,
198,Boysindahood,51,3,43.0,6.557438524302
199,Pashanim,51,2,40.5,6.363961030678928
200,Palaye Royale,51,2,840.5,28.991378028648448
201,Iyaz,51,1,,
202,Israel Kamakawiwo'ole,50,2,392.0,19.79898987322333
203,EFF,50,1,,
204,Travie McCoy,50,1,,
205,Bowling For Soup,49,1,,
206,Sigrid,49,1,,
207,Stu Larsen,47,1,,
208,Lena,47,1,,
209,KC Rebell,47,2,312.5,17.67766952966369
210,Call Me Karizma,47,2,1012.5,31.81980515339464
211,Marteria,47,2,24.5,4.949747468305833
212,AKNE KID JOE,46,2,968.0,31.11269837220809
213,JPD,46,1,,
214,Lost Frequencies,46,1,,
215,KitschKrieg,45,2,60.5,7.7781745930520225
216,Owl City,45,1,,
217,Young Rising Sons,45,1,,
218,Robin Schulz,45,2,480.5,21.920310216782973
219,Bryce Fox,44,1,,
220,Jonas Blue,44,2,200.0,14.142135623730951
221,Sleepy Fish,44,1,,
222,Apollo Sissi,44,3,21.333333333333332,4.618802153517006
223,Finny,44,1,,
224,Barns Courtney,44,1,,
225,CeeLo Green,44,1,,
226,Die Ärzte,43,1,,
227,Arrested Youth,43,1,,
228,The Script,42,2,98.0,9.899494936611665
229,fliggsy,42,1,,
230,The Knights,41,1,,
231,Ten Fé,41,1,,
232,Amy Winehouse,41,2,40.5,6.363961030678928
233,Justin Timberlake,41,1,,
234,Yann Tiersen,41,1,,
235,Alton,40,1,,
236,Pitbull,40,1,,
237,Ray Goren,40,1,,
238,The Tallest Man On Earth,40,1,,
239,Alan Walker,39,2,420.5,20.506096654409877
240,Alec Benjamin,39,1,,
