,artist_name,plays,songs,var,std
902,Foreign Fields,5,2,0.5,0.7071067811865476
903,Wincent Weiss,5,3,1.3333333333333335,1.1547005383792517
904,Karate Andi,5,2,0.5,0.7071067811865476
905,Said,5,2,4.5,2.1213203435596424
906,Danju,5,4,0.25,0.5
907,Karaz,5,2,4.5,2.1213203435596424
908,5 Seconds of Summer,5,4,0.25,0.5
909,The Gregorian Chants,5,4,0.25,0.5
910,All Time Low,5,4,0.25,0.5
911,Schmyt,5,2,0.5,0.7071067811865476
912,Moderat,5,4,0.25,0.5
913,Cypis,5,1,,
914,Cheat Codes,5,3,1.3333333333333335,1.1547005383792517
915,Manuel Straube,5,2,0.5,0.7071067811865476
916,Bob Seger,5,1,,
917,Czech National Symphony Orchestra,5,1,,
918,Charles Trenet,5,1,,
919,Soap&Skin,5,1,,
920,Neal Acree,5,5,0.0,0.0
921,Cash Cash,5,3,1.3333333333333335,1.1547005383792517
922,Eno,5,3,0.3333333333333333,0.5773502691896257
923,Kyla La Grange,5,4,0.25,0.5
924,America,5,2,0.5,0.7071067811865476
925,Vanessa Mai,5,2,4.5,2.1213203435596424
926,Seinabo Sey,5,2,0.5,0.7071067811865476
927,SDP,5,3,1.3333333333333335,1.1547005383792517
928,DJ S.K.T,5,2,4.5,2.1213203435596424
929,Various Artists,5,5,0.0,0.0
930,Christopher,5,3,0.3333333333333333,0.5773502691896257
931,Dirk Maassen,5,3,0.3333333333333333,0.5773502691896257
932,Sigma,5,4,0.25,0.5
933,Steve Aoki,5,3,1.3333333333333335,1.1547005383792517
934,FISHER,5,4,0.25,0.5
935,Los Del Rio,5,3,1.3333333333333335,1.1547005383792517
936,Tamino,5,3,1.3333333333333335,1.1547005383792517
937,New Kids,5,1,,
938,fun.,5,2,4.5,2.1213203435596424
939,Luciano,5,5,0.0,0.0
940,Dimitri Vegas,5,4,0.25,0.5
941,Peter Maffay,5,2,4.5,2.1213203435596424
942,Sheck Wes,5,4,0.25,0.5
943,J Balvin,5,2,4.5,2.1213203435596424
944,The Neighbourhood,5,3,1.3333333333333335,1.1547005383792517
