uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.555,0.56,173800,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,4,0.319
spotify:track:3PEOQwIjl63hKEc67hyYSY,0.5,0.755,167441,0.533,0.0,7,0.383,-8.212,1,0.0413,105.069,4,0.475
spotify:track:4cWafPsRizm6woL5j4HNTD,0.000431,0.833,202276,0.886,0.00451,11,0.11,-6.767,1,0.0573,122.025,4,0.604
spotify:track:5XrQLG0F2A5BsF6KfzGpL6,0.00043,0.646,279188,0.902,0.906,7,0.0663,-6.505,1,0.0428,125.001,4,0.293
spotify:track:0ETkHmCoTwWxZB4lQtgVmY,0.00277,0.753,434023,0.694,0.907,1,0.0828,-11.681,0,0.0494,124.997,5,0.0349
spotify:track:0UHpHP93B9SPxa61doPeM7,0.00258,0.787,491151,0.608,0.909,4,0.269,-9.487,0,0.111,135.001,4,0.0816
spotify:track:0VD1GQqBRp3oAx1Sv1lNKd,0.244,0.536,257573,0.486,0.00788,11,0.12,-11.067,0,0.0346,131.988,4,0.0968
spotify:track:1sWiWerHnR6J4LNdFxdywM,0.487,0.527,272743,0.366,0.0023,10,0.11,-10.943,1,0.0277,98.994,4,0.234
spotify:track:4r8slqwskSBYn72lZ127nD,0.822,0.364,188720,0.396,0.0292,10,0.125,-11.758,0,0.0293,159.905,4,0.267
spotify:track:4RD9ieX3yq8OLW5tlf1KLL,0.919,0.646,224600,0.297,0.0371,11,0.103,-12.922,0,0.0304,110.963,4,0.181
spotify:track:2rKP4A3wm8b5zLFyqSXCMY,0.00567,0.454,219427,0.798,0.000814,11,0.0924,-6.23,0,0.0536,179.931,4,0.416
spotify:track:4IDfVjI1TlB1UwlC01T4Bm,0.000705,0.282,261960,0.866,0.0055,10,0.101,-4.223,0,0.0588,163.987,4,0.277
spotify:track:42YunpdquRjWicoxW971f4,0.129,0.327,150787,0.39,0.0198,5,0.119,-9.131,1,0.0358,97.938,4,0.0649
spotify:track:09LFQSEhFOWSp0VRmRMreE,0.962,0.283,86160,0.327,0.776,5,0.105,-11.121,0,0.0339,53.186,4,0.129
spotify:track:2i50u11IefMPv9WY8D2aVm,0.933,0.181,118827,0.299,0.955,6,0.105,-14.783,0,0.0377,115.836,4,0.0304
spotify:track:5Skcz6AVKkMonGLeq0fdCA,0.982,0.445,64693,0.0655,0.878,4,0.0957,-20.263,1,0.0281,74.883,4,0.085
spotify:track:6l847nvbQHe1GkAkS4KP4v,0.145,0.507,298333,0.429,0.0,9,0.141,-6.576,1,0.0268,131.899,4,0.0788
spotify:track:5oPc42EXh6CWTO8fqGNgg5,0.88,0.433,236347,0.31,0.00405,0,0.118,-8.941,1,0.0305,142.845,4,0.164
spotify:track:3WnGZ4pYVAuymiLPRWQUb8,0.0298,0.569,220102,0.862,0.0,5,0.118,-4.66,0,0.13,158.069,4,0.763
spotify:track:5UOo694cVvjcPFqLFiNWGU,0.806,0.236,281947,0.255,0.0,6,0.0888,-9.666,0,0.033,74.036,5,0.181
spotify:track:2nMeu6UenVvwUktBCpLMK9,0.262,0.324,236053,0.416,3.69e-05,11,0.11,-8.92,0,0.0368,113.986,4,0.151
spotify:track:3vJ7kCW4ROYpWFqlvFBkWb,0.552,0.52,230533,0.903,0.000207,0,0.103,-5.999,0,0.311,85.001,4,0.44
spotify:track:0CYDYDMUwyFYEBMWfbxozX,0.048,0.449,180902,0.534,0.0011,8,0.384,-9.493,0,0.0494,94.261,3,0.342
