id,name,uri
4SOtk3HtPYKqxnVuxNBMti,Donovan Woods,spotify:artist:4SOtk3HtPYKqxnVuxNBMti
4jMmMlPhjrUMf6dCatT8KB,Jardier,spotify:artist:4jMmMlPhjrUMf6dCatT8KB
11nbBcaBk8uXBPQsc3Sq9p,Aaron Espe,spotify:artist:11nbBcaBk8uXBPQsc3Sq9p
0jIbgRR8s1qrEHDghVndxH,Jordan Ruiz,spotify:artist:0jIbgRR8s1qrEHDghVndxH
4sBiA3ARQSDSGUqI2mbWgf,Sleeping Lion,spotify:artist:4sBiA3ARQSDSGUqI2mbWgf
0jcaMhfyinUx3Pj8w4nmWZ,WILD,spotify:artist:0jcaMhfyinUx3Pj8w4nmWZ
30vmaBOoz706zhUztDm5FV,Abraham,spotify:artist:30vmaBOoz706zhUztDm5FV
3FIEwtZZiLVuEDJ2cEaneq,Union Moon,spotify:artist:3FIEwtZZiLVuEDJ2cEaneq
3LE4OOntA2Yq3x1TTuQURx,Ed Patrick,spotify:artist:3LE4OOntA2Yq3x1TTuQURx
08cmuH6uJGH9dQjvvdkTvR,James Walker,spotify:artist:08cmuH6uJGH9dQjvvdkTvR
60ewzuY3lVH0QElQbFagIS,All The Luck In The World,spotify:artist:60ewzuY3lVH0QElQbFagIS
27APP3d52G71kejZ1hmuNb,Chris Molitor,spotify:artist:27APP3d52G71kejZ1hmuNb
4ZoIkqWHz47n5xuIfVbncu,August Green,spotify:artist:4ZoIkqWHz47n5xuIfVbncu
6SbjUvOLEYreFr16Gvn8kv,Sofia Dragt,spotify:artist:6SbjUvOLEYreFr16Gvn8kv
1O1r2qVtIFqlTJoB4jsJKd,Miki Fiki,spotify:artist:1O1r2qVtIFqlTJoB4jsJKd
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,spotify:artist:6Q192DXotxtaysaqNPy5yR
7qXzy6c5RWT0XlVQcOBIDG,Mark Forster,spotify:artist:7qXzy6c5RWT0XlVQcOBIDG
2RP4pPHTXlQpDnO9LvR7Yt,Lianne La Havas,spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt
12xme1fwd3iGEW7rF9b6tp,Wincent Weiss,spotify:artist:12xme1fwd3iGEW7rF9b6tp
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z
7bNqXqIrIfwJnipx7oGeU4,Sevenn,spotify:artist:7bNqXqIrIfwJnipx7oGeU4
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo
23fqKkggKUBHNkbKtXEls4,Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4
