,duration_ms_x,explicit,name,popularity,uri,orig_uri,isrc,acousticness,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
10,219320,True,Work,77,spotify:track:72TFWvU3wUYdUuxejTTIzt,spotify:track:14WWzenpaEgQZlqPq2nk4v,QM5FT1600116,0.0747,0.723,219320,0.534,0.0,11,0.0919,-6.238,1,0.0891,91.974,4,0.551
11,219653,False,I'll Be Home,41,spotify:track:0lTurWECr2XL607eJAj1A3,spotify:track:4ZWiQrSCsoZZsHm7GCYxv1,USSM11408623,0.318,0.542,219653,0.37,4.84e-06,2,0.108,-7.779,1,0.0257,84.796,4,0.289
12,189843,False,Hands,34,spotify:track:3JZ5bL6UYIeJ5x0SCXUQbO,spotify:track:3JZ5bL6UYIeJ5x0SCXUQbO,NLF711504316,0.0543,0.559,189844,0.672,0.000243,7,0.281,-6.102,1,0.045,128.044,4,0.306
13,157466,False,Can't Stop Playing (Makes Me High) [feat. Ane Brun] - Oliver Heldens & Gregor Salto Vocal Mix Edit,52,spotify:track:1MOGJQsVeaRcXY6heJz5UZ,spotify:track:7ev2lOXMdzyJ5qCXUnrRns,NLZ541500027,0.0863,0.708,157466,0.904,0.000179,6,0.178,-4.9,1,0.0408,125.002,4,0.75
14,188754,True,All About That Bass,58,spotify:track:0ifSeVGUr7py5GggttDhXw,spotify:track:0ifSeVGUr7py5GggttDhXw,USSM11401317,0.0476,0.811,188754,0.879,1.91e-06,9,0.109,-3.724,1,0.0514,134.064,4,0.962
15,225053,False,Like I'm Gonna Lose You (feat. John Legend),53,spotify:track:7MjKAV0mFiEID9WhDSSzaW,spotify:track:7MjKAV0mFiEID9WhDSSzaW,USSM11408374,0.4,0.63,225053,0.53,0.0,0,0.177,-7.259,1,0.0434,108.038,3,0.417
16,184226,False,Dear Future Husband,57,spotify:track:5MEYDJVJMaGAXfddTo0D6J,spotify:track:5MEYDJVJMaGAXfddTo0D6J,USSM11406291,0.374,0.704,184227,0.78,0.0,1,0.309,-4.743,1,0.142,79.483,4,0.864
17,237300,False,7 Years,61,spotify:track:23ihGIrYOSzNNGJ6STAxI4,spotify:track:23ihGIrYOSzNNGJ6STAxI4,USWB11506516,0.29,0.741,237300,0.473,0.0,10,0.391,-5.829,1,0.0603,119.951,4,0.342
18,275714,True,"Me, Myself & I - Marc Stout & Scott Svejda Remix",42,spotify:track:4WLVepwyIveYwv7uJROc5p,spotify:track:4WLVepwyIveYwv7uJROc5p,USRC11600046,0.0417,0.492,275714,0.742,0.0,1,0.0688,-5.291,1,0.183,126.038,4,0.677
19,431999,False,Lift Me - La Decadance Remix,8,spotify:track:3uT96YtBLquK1chKWuk4k7,spotify:track:4WbkN8EZfHTt2MXwbEuUDu,GBPS83840031,0.00287,0.757,432000,0.674,0.818,1,0.0795,-8.115,1,0.0395,119.976,4,0.235
20,353142,False,Against the System,7,spotify:track:3mRlYae6X7UtjRJFtuN27r,spotify:track:4sEiYknAEhlA12mQ12vJE9,DEKC41700045,0.0125,0.732,353143,0.83,0.676,7,0.308,-8.548,1,0.0807,137.018,4,0.437
21,523795,False,Redo,6,spotify:track:21UiWWGdHEWKqWdD4ix0c6,spotify:track:1we3pHqhkUEwY9XsxXK5Aa,DEKC41700017,0.000405,0.611,523796,0.91,0.671,4,0.334,-6.843,0,0.0714,137.971,4,0.0399
22,449541,False,Wake Up - 2017 Deluxe Edition,22,spotify:track:5lsaE60UW6Gb23nhxoQgNX,spotify:track:2oJHVs1VY0fvhJz8Ivo8lX,GBKQU1737227,6.93e-05,0.599,449541,0.932,0.675,8,0.602,-6.925,0,0.0444,144.985,4,0.225
23,213000,False,Almost Is Never Enough,18,spotify:track:7DEyKAWzZ837ShplYNZ0Ha,spotify:track:401Q7B8s87YGn5zIYpGzEf,GBKPL2150626,0.819,0.518,213000,0.204,0.0,2,0.114,-12.37,1,0.042,81.389,4,0.3
24,258188,True,Quit (feat. Ariana Grande),62,spotify:track:4rwqrKdwlFWJ6LvPYaOtgn,spotify:track:4Q5yMlwAfAoitqg4r9oZHN,USUM71702753,0.105,0.44,258188,0.413,3.4e-05,0,0.0997,-7.365,0,0.0407,86.911,3,0.141
25,193986,False,Only 1,54,spotify:track:6LQzYkmd8ADbKOOEVDnlG4,spotify:track:5LB5RjU87USTja29YNTe7S,USUM71409738,0.5,0.648,193987,0.842,0.0,0,0.0788,-5.714,1,0.248,101.367,4,0.383
26,235946,False,Dangerous Woman,78,spotify:track:3nef5W8jTkXrOKgCu4kmq7,spotify:track:2h1IPjP471JJRSShTHRUhi,USUM71601826,0.0529,0.664,235947,0.602,0.0,4,0.356,-5.369,0,0.0412,134.049,3,0.289
27,191093,False,"Mama, I'm a Big Girl Now",41,spotify:track:5D1NSvQajIAbwTgnNfKNdR,spotify:track:5D1NSvQajIAbwTgnNfKNdR,USQX91602481,0.631,0.75,191093,0.76,0.0,5,0.0724,-3.583,1,0.0634,141.043,4,0.788
28,233733,False,Best Mistake,62,spotify:track:70yhaHLp9STtzI2Kzba6Tr,spotify:track:61707mcFfjlHcedjmRCr1L,USUM71409726,0.547,0.654,233733,0.578,0.0,6,0.112,-6.897,1,0.449,143.866,4,0.233
29,197600,False,Baby I,58,spotify:track:6NmCCgnQcxKHPOAKgd9Nth,spotify:track:6NmCCgnQcxKHPOAKgd9Nth,USUM71309591,0.0152,0.724,197600,0.796,0.0,1,0.354,-3.686,1,0.0328,101.975,4,0.542
30,192500,False,Oh My Dear Lord,49,spotify:track:0iHA83002w19QxhOIixKDy,spotify:track:0iHA83002w19QxhOIixKDy,USQX91702599,0.0382,0.557,192500,0.798,1.4e-05,1,0.0666,-4.506,0,0.113,72.044,4,0.673
