uri,genre
spotify:artist:4hwJwkgsufeilLXS1ZfJqq,pov: indie
spotify:artist:6AyATGg7mDgBlZ4N5uNog0,modern indie pop
spotify:artist:0p0ksmwMDQlAM24TWKu4Ua,folk-pop
spotify:artist:4SOtk3HtPYKqxnVuxNBMti,canadian singer-songwriter
spotify:artist:4SOtk3HtPYKqxnVuxNBMti,indie folk
spotify:artist:4jMmMlPhjrUMf6dCatT8KB,slovenian indie
spotify:artist:11nbBcaBk8uXBPQsc3Sq9p,modern indie folk
spotify:artist:11nbBcaBk8uXBPQsc3Sq9p,stomp and flutter
spotify:artist:0jcaMhfyinUx3Pj8w4nmWZ,folk-pop
spotify:artist:3LE4OOntA2Yq3x1TTuQURx,modern indie folk
spotify:artist:60ewzuY3lVH0QElQbFagIS,indie anthem-folk
spotify:artist:1O1r2qVtIFqlTJoB4jsJKd,nashville indie
spotify:artist:6Q192DXotxtaysaqNPy5yR,british soul
spotify:artist:6Q192DXotxtaysaqNPy5yR,neo soul
spotify:artist:7qXzy6c5RWT0XlVQcOBIDG,german pop
spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,british soul
spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,alternative r&b
spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,neo soul
spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,pop soul
spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,indie soul
spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,soul
spotify:artist:12xme1fwd3iGEW7rF9b6tp,german pop
spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,rap
spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,hip hop
spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,atl hip hop
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,edm
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,pop dance
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,big room
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,progressive electro house
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,trance
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,brostep
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,dutch edm
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,house
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,slap house
spotify:artist:7bNqXqIrIfwJnipx7oGeU4,brazilian edm
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,pop rap
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,rap
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,southern hip hop
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,trap
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,hip hop
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,atl hip hop
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,dirty south rap
spotify:artist:23fqKkggKUBHNkbKtXEls4,edm
spotify:artist:23fqKkggKUBHNkbKtXEls4,pop
spotify:artist:23fqKkggKUBHNkbKtXEls4,pop dance
spotify:artist:23fqKkggKUBHNkbKtXEls4,tropical house
spotify:artist:53XhwfbYqKCa1cC15pYq2q,pop
spotify:artist:53XhwfbYqKCa1cC15pYq2q,modern rock
spotify:artist:53XhwfbYqKCa1cC15pYq2q,rock
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,edm
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,pop
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,progressive electro house
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,brostep
spotify:artist:1zNqDE7qDGCsyzJwohVaoX,pop
spotify:artist:4uiMn2g0pgTrhN096QJhbp,edm
spotify:artist:4uiMn2g0pgTrhN096QJhbp,electro house
spotify:artist:4uiMn2g0pgTrhN096QJhbp,pop dance
spotify:artist:4uiMn2g0pgTrhN096QJhbp,progressive electro house
spotify:artist:4uiMn2g0pgTrhN096QJhbp,progressive house
spotify:artist:4uiMn2g0pgTrhN096QJhbp,dutch house
spotify:artist:1Uff91EOsvd99rtAupatMP,classical
spotify:artist:1Uff91EOsvd99rtAupatMP,impressionism
spotify:artist:1Uff91EOsvd99rtAupatMP,post-romantic era
spotify:artist:4LdZNE5MHGqvc0N9ivXNF3,metropopolis
spotify:artist:4LdZNE5MHGqvc0N9ivXNF3,nu gaze
spotify:artist:4LdZNE5MHGqvc0N9ivXNF3,welsh indie
spotify:artist:4LdZNE5MHGqvc0N9ivXNF3,welsh rock
spotify:artist:4EMtGVFvfCSrEmWaGV0roE,alternative hip hop
spotify:artist:0SbSDzM4X41hnlURed0fcV,soundtrack
spotify:artist:2uhxsH4AyYw4sWOR8peWLj,deep acoustic pop
spotify:artist:2uhxsH4AyYw4sWOR8peWLj,minimal wave
spotify:artist:0oSL1fK3zdwJ9ZRPT7gBNd,indie folk argentino
spotify:artist:3hozsZ9hqNq7CoBGYNlFTz,modern rock
spotify:artist:3hozsZ9hqNq7CoBGYNlFTz,chicago indie
spotify:artist:3hozsZ9hqNq7CoBGYNlFTz,permanent wave
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,pop
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,modern rock
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,rock
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,candy pop
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,pixie
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,pop emo
spotify:artist:74XFHRwlV6OrjEM0A2NCMF,pop punk
spotify:artist:6oX4tx055oEFYM3ahDTyOD,british soul
spotify:artist:7H55rcKCfwqkyDFH9wpKM6,pop
spotify:artist:3v6Ji4uoWtKRkhuDUaxi9n,edm
spotify:artist:1OAjDaKgg00KCUYqDe68un,eurodance
spotify:artist:1OAjDaKgg00KCUYqDe68un,italo dance
spotify:artist:7vk5e3vY1uw9plTHJAMwjN,electro house
spotify:artist:1eMmoIprPDWeFdB1FxU6ZV,alt z
spotify:artist:1eMmoIprPDWeFdB1FxU6ZV,deep pop edm
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,edm
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,pop
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,pop dance
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,progressive house
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,dutch edm
spotify:artist:7Io0XduXk7aOHFHA7sLru2,swedish pop
spotify:artist:1aQwKFn00nswXRDUDipm0K,lithuanian edm
spotify:artist:1aQwKFn00nswXRDUDipm0K,lithuanian electronic
spotify:artist:77AiFEVeAVj2ORpC85QVJs,edm
spotify:artist:77AiFEVeAVj2ORpC85QVJs,electro house
spotify:artist:77AiFEVeAVj2ORpC85QVJs,pop dance
spotify:artist:5ChF3i92IPZHduM7jN3dpg,edm
spotify:artist:5ChF3i92IPZHduM7jN3dpg,electro house
spotify:artist:5ChF3i92IPZHduM7jN3dpg,pop dance
spotify:artist:5ChF3i92IPZHduM7jN3dpg,big room
spotify:artist:5ChF3i92IPZHduM7jN3dpg,progressive electro house
spotify:artist:5ChF3i92IPZHduM7jN3dpg,dutch house
spotify:artist:5ChF3i92IPZHduM7jN3dpg,dutch edm
spotify:artist:4u5smJBskI6Adzv08PuiUP,alt z
spotify:artist:4u5smJBskI6Adzv08PuiUP,electropop
spotify:artist:2X97ZAqRKRMYFIDqtvGgGc,edm
spotify:artist:2X97ZAqRKRMYFIDqtvGgGc,uk dance
spotify:artist:6M2wZ9GZgrQXHCFfjv46we,dance pop
spotify:artist:6M2wZ9GZgrQXHCFfjv46we,pop
spotify:artist:6M2wZ9GZgrQXHCFfjv46we,uk pop
spotify:artist:3hv9jJF3adDNsBSIQDqcjp,pop soul
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,dance pop
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,edm
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,electro house
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,moombahton
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,pop dance
spotify:artist:6fJvW51nWhRImJyos6O7sT,house
spotify:artist:6fJvW51nWhRImJyos6O7sT,deep disco house
spotify:artist:6fJvW51nWhRImJyos6O7sT,deep house
spotify:artist:6fJvW51nWhRImJyos6O7sT,minimal tech house
spotify:artist:6fJvW51nWhRImJyos6O7sT,uk house
spotify:artist:4DE0cYxMnEEmfKLwDkYwxb,disco house
spotify:artist:4DE0cYxMnEEmfKLwDkYwxb,tribal house
spotify:artist:4DE0cYxMnEEmfKLwDkYwxb,vocal house
spotify:artist:3SvCpwSeoWCcjfo8zjPZKB,electro house
spotify:artist:3SvCpwSeoWCcjfo8zjPZKB,brostep
spotify:artist:3SvCpwSeoWCcjfo8zjPZKB,canadian electronic
spotify:artist:04L4Y7Hkc1fULKhFbTnSSs,deep house
spotify:artist:04L4Y7Hkc1fULKhFbTnSSs,disco house
spotify:artist:4SLEjYifqonlEHnZHLXnI4,tech house
spotify:artist:4SLEjYifqonlEHnZHLXnI4,uk tech house
spotify:artist:69QKcDt724e93ZYkBSjsYP,uk dance
spotify:artist:69QKcDt724e93ZYkBSjsYP,bouncy house
spotify:artist:7b7fZRv3EYhFgWYJR3yjXn,irish pop
spotify:artist:5WzFz4sQSN1HgSZLmIgHBl,future house
spotify:artist:0ZwQMCRqfyh1OGQkBh9Cnj,uk dance
spotify:artist:0ZwQMCRqfyh1OGQkBh9Cnj,house
spotify:artist:0ZwQMCRqfyh1OGQkBh9Cnj,deep groove house
spotify:artist:2cLpEg1aS1zkcJ2EnQv71q,uk house
spotify:artist:2cLpEg1aS1zkcJ2EnQv71q,deep groove house
spotify:artist:0oO1IaDOBSeI96HbnCa5pZ,uk dance
spotify:artist:0oO1IaDOBSeI96HbnCa5pZ,house
spotify:artist:0oO1IaDOBSeI96HbnCa5pZ,tech house
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,soundtrack
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,canadian classical
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,canadian soundtrack
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,middle earth
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,orchestral soundtrack
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,scorecore
spotify:artist:0MeLMJJcouYXCymQSHPn8g,ambient worship
spotify:artist:0MeLMJJcouYXCymQSHPn8g,chamber pop
spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,indie folk
spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,australian indie folk
spotify:artist:6gUiIIPmV6OXjHcvv1KCuL,bay area indie
