duration_ms,explicit,name,popularity,uri,orig_uri,isrc
223078,False,Send My Love (To Your New Lover),69,spotify:track:563SfWAHJs4FBZMkRN0IFN,spotify:track:3KZcrZ36LW9RnChK1iIkth,GBBKS1500215
264893,False,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",63,spotify:track:7GbqE3MlkKosIaCvf50JRK,spotify:track:7GbqE3MlkKosIaCvf50JRK,USIR10110334
190185,False,Royals,77,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,NZUM71200031
209186,False,Replay,63,spotify:track:7d1CFwrBmH34gmS0Hkbfbt,spotify:track:7d1CFwrBmH34gmS0Hkbfbt,USHR11334762
226720,False,Give A Little,50,spotify:track:3D4uUFRoYDFHbkQlTKL2Om,spotify:track:4za2QYGfHlYml23pChrpXO,USUG11801240
231906,False,Malibu,73,spotify:track:1UZOjK1BwmwWU14Erba9CZ,spotify:track:1UZOjK1BwmwWU14Erba9CZ,USRC11700814
235545,True,Girls Like You (feat. Cardi B) - Cardi B Version,62,spotify:track:6FRLCMO5TUHTexlWo8ym1W,spotify:track:6FRLCMO5TUHTexlWo8ym1W,USUM71805272
229029,False,The Story Never Ends,56,spotify:track:2hTcD5aTYlQoTT76KofQam,spotify:track:3u5bTqHMM1P34ZkbwzdckV,TCACS1676215
200600,False,Where Were You In The Morning?,54,spotify:track:376Gg7Oxo5C5jUWDWpVXeI,spotify:track:376Gg7Oxo5C5jUWDWpVXeI,USUM71804952
202600,True,Entertainer,59,spotify:track:4By48hpAtUx7F7F1yxvwvm,spotify:track:5LTGmestwpHZ1BfCmpFQJx,USRC11802219
231272,False,Unlonely,31,spotify:track:0sguop6x3D6B21kLVL7RUR,spotify:track:0sguop6x3D6B21kLVL7RUR,USAT21802784
199053,False,Don't Let Me Be Yours,41,spotify:track:65ACnVMmePTp8Xdk11jP2y,spotify:track:65ACnVMmePTp8Xdk11jP2y,USSM11701005
216930,False,Lips On You,52,spotify:track:6SEBdRAW54AFwa8spgf0Ws,spotify:track:6SEBdRAW54AFwa8spgf0Ws,USUM71710375
222653,False,Solo (feat. Demi Lovato),68,spotify:track:6kPJZM97LwdG9QIsT7khp6,spotify:track:6kPJZM97LwdG9QIsT7khp6,GBAHS1800328
191164,False,Bending (feat. Joey Busse),14,spotify:track:052xyncfeyzYbAh9C57eil,spotify:track:1jUQhXmXXnonZN4fzZy2fZ,GBSMU5554776
